,datetime,price
187,2022-01-20-11:25,132.52
188,2022-01-20-11:20,132.33
189,2022-01-20-11:15,132.09
190,2022-01-20-11:10,132.145
191,2022-01-20-11:05,132.165
192,2022-01-20-11:00,132.23
193,2022-01-20-10:55,132.29
194,2022-01-20-10:50,132.46
195,2022-01-20-10:45,132.2848
196,2022-01-20-10:40,132.38
197,2022-01-20-10:35,131.79
198,2022-01-20-10:30,131.6
199,2022-01-20-10:25,131.47
200,2022-01-20-10:20,131.43
201,2022-01-20-10:15,131.65
202,2022-01-20-10:10,131.42
203,2022-01-20-10:05,131.345
204,2022-01-20-10:00,131.86
205,2022-01-20-09:55,131.51
206,2022-01-20-09:50,131.0693
207,2022-01-20-09:45,131.245
208,2022-01-20-09:40,131.3323
209,2022-01-20-09:35,131.94
210,2022-01-20-09:30,131.05
211,2022-01-20-09:15,131.66
212,2022-01-20-09:00,131.8
213,2022-01-20-08:25,131.79
214,2022-01-20-08:20,131.81
215,2022-01-20-08:05,131.77
216,2022-01-20-07:45,131.45
217,2022-01-19-20:00,131.01
218,2022-01-19-19:35,131.84
219,2022-01-19-19:10,131.51
220,2022-01-19-18:55,131.51
221,2022-01-19-18:15,131.51
222,2022-01-19-17:40,131.74
223,2022-01-19-16:55,131.75
224,2022-01-19-16:30,131.5
225,2022-01-19-16:15,131.58
226,2022-01-19-16:10,132.2
227,2022-01-19-16:05,131.5
228,2022-01-19-16:00,131.6
229,2022-01-19-15:55,131.94
230,2022-01-19-15:50,132.15
231,2022-01-19-15:45,132.08
232,2022-01-19-15:40,132.0811
233,2022-01-19-15:35,132.11
234,2022-01-19-15:30,132.315
235,2022-01-19-15:25,132.52
236,2022-01-19-15:20,132.54
237,2022-01-19-15:15,132.67
238,2022-01-19-15:10,132.46
239,2022-01-19-15:05,132.405
240,2022-01-19-15:00,132.54
241,2022-01-19-14:55,132.44
242,2022-01-19-14:50,132.3
243,2022-01-19-14:45,132.44
244,2022-01-19-14:40,132.35
245,2022-01-19-14:35,132.15
246,2022-01-19-14:30,132.315
247,2022-01-19-14:25,132.39
248,2022-01-19-14:20,132.44
249,2022-01-19-14:15,132.38
250,2022-01-19-14:10,132.5493
251,2022-01-19-14:05,132.73
252,2022-01-19-14:00,132.72
253,2022-01-19-13:55,132.75
254,2022-01-19-13:50,132.855
255,2022-01-19-13:45,132.8899
256,2022-01-19-13:40,132.85
257,2022-01-19-13:35,133.175
258,2022-01-19-13:30,133.04
259,2022-01-19-13:25,133.125
260,2022-01-19-13:20,133.25
261,2022-01-19-13:15,133.2398
262,2022-01-19-13:10,133.145
263,2022-01-19-13:05,133.29
264,2022-01-19-13:00,133.28
265,2022-01-19-12:55,133.0885
266,2022-01-19-12:50,133.209
267,2022-01-19-12:45,133.2
268,2022-01-19-12:40,133.09
269,2022-01-19-12:35,133.17
270,2022-01-19-12:30,133.18
271,2022-01-19-12:25,133.23
272,2022-01-19-12:20,133.385
273,2022-01-19-12:15,133.6
274,2022-01-19-12:10,133.81
275,2022-01-19-12:05,133.69
276,2022-01-19-12:00,133.67
277,2022-01-19-11:55,133.415
278,2022-01-19-11:50,133.34
279,2022-01-19-11:45,133.27
280,2022-01-19-11:40,133.63
281,2022-01-19-11:35,133.725
282,2022-01-19-11:30,133.695
283,2022-01-19-11:25,133.6707
284,2022-01-19-11:20,133.81
285,2022-01-19-11:15,133.4497
286,2022-01-19-11:10,133.17
287,2022-01-19-11:05,133.15
288,2022-01-19-11:00,133.2
289,2022-01-19-10:55,133.21
290,2022-01-19-10:50,133.27
291,2022-01-19-10:45,133.09
292,2022-01-19-10:40,132.92
293,2022-01-19-10:35,132.61
294,2022-01-19-10:30,132.35
295,2022-01-19-10:25,132.68
296,2022-01-19-10:20,132.92
297,2022-01-19-10:15,133.07
298,2022-01-19-10:10,132.94
