datetime,price,S_avg,S_std,signal,pnl
2021-11-24 04:05:00,161.03,161.03,,,
2021-11-24 04:10:00,161.2,161.115,0.12020815280169418,,
2021-11-24 04:15:00,161.29,161.17333333333332,0.13203534880223644,,
2021-11-24 04:20:00,161.3,161.20499999999998,0.12503332889005972,,
2021-11-24 04:25:00,161.43,161.25,0.1478174549909364,1.0,
2021-11-24 04:30:00,161.44,161.28166666666667,0.15328622464743702,1.0,0.009999999999990905
2021-11-24 04:35:00,161.41,161.29999999999998,0.14809906594347982,1.0,-0.030000000000001137
2021-11-24 04:40:00,161.33,161.30375,0.13752272539474403,1.0,-0.07999999999998408
2021-11-24 04:45:00,161.34,161.30777777777777,0.12920698295542263,1.0,0.009999999999990905
2021-11-24 04:50:00,161.0,161.277,0.15592377054900966,-1.0,-0.3400000000000034
2021-11-24 04:55:00,161.09,161.26000000000002,0.15830350596243178,-1.0,-0.09000000000000341
2021-11-24 05:00:00,161.1,161.24666666666667,0.15784534049236132,-1.0,-0.009999999999990905
2021-11-24 05:05:00,161.16,161.23999999999998,0.1530250524151681,-1.0,-0.060000000000002274
2021-11-24 05:15:00,161.17,161.23499999999999,0.14820723536785668,-1.0,-0.009999999999990905
2021-11-24 05:20:00,161.24,161.23533333333336,0.14282190041479625,-1.0,-0.0700000000000216
2021-11-24 05:30:00,161.16,161.230625,0.13925845276558907,-1.0,0.0800000000000125
2021-11-24 05:35:00,161.1,161.22294117647058,0.1385083348521999,-1.0,0.060000000000002274
2021-11-24 05:40:00,161.11,161.21666666666667,0.1369843271412933,-1.0,-0.010000000000019327
2021-11-24 05:45:00,161.08,161.20947368421054,0.13676718596905832,-1.0,0.030000000000001137
2021-11-24 05:50:00,160.81,161.1895,0.1603113746497951,-1.0,0.27000000000001023
2021-11-24 05:55:00,160.69,161.16571428571427,0.19051434141743248,-1.0,0.12000000000000455
2021-11-24 06:00:00,160.86,161.1518181818182,0.19701671100591614,-1.0,-0.17000000000001592
2021-11-24 06:05:00,160.59,161.1273913043478,0.22533242899617886,-1.0,0.27000000000001023
2021-11-24 06:15:00,160.65,161.1075,0.2409627429256811,-1.0,-0.060000000000002274
2021-11-24 06:20:00,160.85,161.0972,0.24144564605726015,-1.0,-0.19999999999998863
2021-11-24 06:25:00,160.94,161.09115384615384,0.2385678423103656,-1.0,-0.09000000000000341
2021-11-24 06:30:00,160.97,161.08666666666667,0.23509408918396713,-1.0,-0.030000000000001137
2021-11-24 06:35:00,161.07,161.08607142857142,0.23072091985156212,-1.0,-0.09999999999999432
2021-11-24 06:40:00,161.17,161.08896551724138,0.22709885870612173,-1.0,-0.09999999999999432
2021-11-24 06:45:00,161.23,161.09366666666668,0.22462970806892985,-1.0,-0.060000000000002274
2021-11-24 06:50:00,161.22,161.09774193548387,0.2220166611979107,-1.0,0.009999999999990905
