,datetime,price
187,2022-01-21-04:25,163.17
188,2022-01-21-04:20,163.0
189,2022-01-21-04:15,162.7
190,2022-01-21-04:10,163.18
191,2022-01-21-04:05,163.61
192,2022-01-20-20:00,163.05
193,2022-01-20-19:55,163.14
194,2022-01-20-19:50,163.1
195,2022-01-20-19:45,163.01
196,2022-01-20-19:40,163.25
197,2022-01-20-19:35,163.3
198,2022-01-20-19:30,163.34
199,2022-01-20-19:25,163.4
200,2022-01-20-19:20,163.4
201,2022-01-20-19:15,163.3
202,2022-01-20-19:10,163.16
203,2022-01-20-19:05,163.47
204,2022-01-20-19:00,163.49
205,2022-01-20-18:55,163.44
206,2022-01-20-18:50,163.7
207,2022-01-20-18:45,163.6
208,2022-01-20-18:40,163.3
209,2022-01-20-18:35,162.99
210,2022-01-20-18:30,162.8
211,2022-01-20-18:25,162.97
212,2022-01-20-18:20,162.8
213,2022-01-20-18:15,163.07
214,2022-01-20-18:10,163.32
215,2022-01-20-18:05,163.54
216,2022-01-20-18:00,162.8
217,2022-01-20-17:55,162.78
218,2022-01-20-17:50,162.89
219,2022-01-20-17:45,163.02
220,2022-01-20-17:40,163.25
221,2022-01-20-17:35,163.31
222,2022-01-20-17:30,163.24
223,2022-01-20-17:25,163.21
224,2022-01-20-17:20,163.35
225,2022-01-20-17:15,163.4999
226,2022-01-20-17:10,163.57
227,2022-01-20-17:05,163.58
228,2022-01-20-17:00,163.4
229,2022-01-20-16:55,163.05
230,2022-01-20-16:50,162.6
231,2022-01-20-16:45,162.45
232,2022-01-20-16:40,162.71
233,2022-01-20-16:35,162.94
234,2022-01-20-16:30,163.05
235,2022-01-20-16:25,163.74
236,2022-01-20-16:20,164.02
237,2022-01-20-16:15,164.05
238,2022-01-20-16:10,164.02
239,2022-01-20-16:05,163.99
240,2022-01-20-16:00,164.52
241,2022-01-20-15:55,164.5918
242,2022-01-20-15:50,164.9499
243,2022-01-20-15:45,165.1
244,2022-01-20-15:40,165.22
245,2022-01-20-15:35,165.705
246,2022-01-20-15:30,165.845
247,2022-01-20-15:25,165.97
248,2022-01-20-15:20,166.26
249,2022-01-20-15:15,166.04
250,2022-01-20-15:10,166.1999
251,2022-01-20-15:05,166.408
252,2022-01-20-15:00,166.66
253,2022-01-20-14:55,166.73
254,2022-01-20-14:50,166.64
255,2022-01-20-14:45,166.61
256,2022-01-20-14:40,166.865
257,2022-01-20-14:35,166.719
258,2022-01-20-14:30,166.6401
259,2022-01-20-14:25,166.9099
260,2022-01-20-14:20,166.9701
261,2022-01-20-14:15,166.77
262,2022-01-20-14:10,167.6399
263,2022-01-20-14:05,167.8429
264,2022-01-20-14:00,167.4167
265,2022-01-20-13:55,167.7101
266,2022-01-20-13:50,167.6
267,2022-01-20-13:45,167.6
268,2022-01-20-13:40,167.58
269,2022-01-20-13:35,167.3
270,2022-01-20-13:30,167.6
271,2022-01-20-13:25,167.7204
272,2022-01-20-13:20,167.89
273,2022-01-20-13:15,168.07
274,2022-01-20-13:10,168.02
275,2022-01-20-13:05,168.14
276,2022-01-20-13:00,168.645
277,2022-01-20-12:55,168.63
278,2022-01-20-12:50,169.02
279,2022-01-20-12:45,169.1801
280,2022-01-20-12:40,168.895
281,2022-01-20-12:35,168.93
282,2022-01-20-12:30,169.075
283,2022-01-20-12:25,169.02
284,2022-01-20-12:20,168.95
285,2022-01-20-12:15,169.1099
286,2022-01-20-12:10,169.01
287,2022-01-20-12:05,169.1399
288,2022-01-20-12:00,169.11
289,2022-01-20-11:55,169.1
290,2022-01-20-11:50,168.99
291,2022-01-20-11:45,168.79
292,2022-01-20-11:40,169.33
293,2022-01-20-11:35,169.42
294,2022-01-20-11:30,169.35
295,2022-01-20-11:25,169.075
296,2022-01-20-11:20,169.21
297,2022-01-20-11:15,169.13
298,2022-01-20-11:10,169.18
299,2022-01-20-11:05,169.32
300,2022-01-20-11:00,169.229
301,2022-01-20-10:55,169.339
302,2022-01-20-10:50,169.195
303,2022-01-20-10:45,169.01
304,2022-01-20-10:40,169.165
305,2022-01-20-10:35,169.3655
306,2022-01-20-10:30,169.23
307,2022-01-20-10:25,168.98
308,2022-01-20-10:20,168.64
309,2022-01-20-10:15,168.75
310,2022-01-20-10:10,168.75
311,2022-01-20-10:05,168.656
