datetime,price,S_avg,S_std,signal,pnl
2021-11-24 05:20:00,116.96,116.96,,,
2021-11-24 05:50:00,116.81,116.88499999999999,0.10606601717797108,,
2021-11-24 05:55:00,116.76,116.84333333333332,0.10408329997329674,,
2021-11-24 07:50:00,116.75,116.82,0.09695359714831844,,
2021-11-24 08:05:00,117.0,116.856,0.1163185281887598,-1.0,
2021-11-24 08:20:00,116.9699,116.87498333333333,0.11395701675046625,-1.0,0.030100000000004457
2021-11-24 08:25:00,116.96,116.88712857142856,0.10887783236706927,-1.0,0.009900000000001796
2021-11-24 08:40:00,116.74,116.8687375,0.11343170301992224,1.0,0.21999999999999886
2021-11-24 08:50:00,116.5,116.82776666666668,0.16237576789656963,1.0,-0.23999999999999488
2021-11-24 08:55:00,116.68,116.81298999999999,0.16006200499945378,1.0,0.18000000000000682
2021-11-24 09:10:00,116.7375,116.80612727272728,0.15354454787396077,1.0,0.05749999999999034
2021-11-24 09:15:00,116.5,116.78061666666667,0.17100337494454732,1.0,-0.23749999999999716
2021-11-24 09:30:00,116.25,116.7398,0.2201438431268705,1.0,-0.25
2021-11-24 09:35:00,116.75,116.74052857142858,0.2115249300767109,1.0,0.5
2021-11-24 09:40:00,116.79,116.74382666666666,0.204230368759915,1.0,0.04000000000000625
2021-11-24 09:45:00,116.875,116.752025,0.20001194131018257,1.0,0.08499999999999375
2021-11-24 09:50:00,116.975,116.76514117647059,0.20106978284548457,-1.0,0.09999999999999432
2021-11-24 09:55:00,116.5627,116.75389444444444,0.2008175275693978,-1.0,0.4122999999999877
2021-11-24 10:00:00,116.515,116.74132105263156,0.20270906787519774,1.0,0.04770000000000607
2021-11-24 10:05:00,116.45,116.726755,0.20777796214380606,1.0,-0.06499999999999773
2021-11-24 10:10:00,116.39,116.71071904761905,0.2154374262263856,1.0,-0.060000000000002274
2021-11-24 10:15:00,116.42,116.69750454545455,0.2191913221198384,1.0,0.030000000000001137
2021-11-24 10:20:00,116.55,116.69109130434784,0.2163491662547668,1.0,0.12999999999999545
2021-11-24 10:25:00,116.51,116.68354583333333,0.21479826729762147,1.0,-0.03999999999999204
2021-11-24 10:30:00,116.445,116.67400400000001,0.2156201086015316,1.0,-0.06500000000001194
2021-11-24 10:35:00,116.22,116.6565423076923,0.22925973946261327,1.0,-0.22499999999999432
2021-11-24 10:40:00,116.28,116.6425962962963,0.23619854340964128,1.0,0.060000000000002274
2021-11-24 10:45:00,116.205,116.62696785714286,0.24609431503295473,1.0,-0.07500000000000284
2021-11-24 10:50:00,116.2032,116.61235517241379,0.25414927641927054,1.0,-0.0018000000000029104
2021-11-24 10:55:00,116.465,116.60744333333334,0.251173912388156,1.0,0.261800000000008
2021-11-24 11:00:00,116.34,116.59881612903226,0.2515803610469653,1.0,-0.125
2021-11-24 11:05:00,116.44,116.593853125,0.2490766626179425,1.0,0.09999999999999432
2021-11-24 11:10:00,116.51,116.59131212121213,0.24558813178468125,1.0,0.07000000000000739
2021-11-24 11:15:00,116.42,116.58627352941177,0.24361654209250685,1.0,-0.09000000000000341
2021-11-24 11:20:00,116.41,116.58123714285715,0.2418496264523288,1.0,-0.010000000000005116
2021-11-24 11:25:00,116.4,116.57620277777778,0.2402758361147448,1.0,-0.009999999999990905
